Statistical profiling result from Proffiling-raw-NoAuthinfoLog.log, (6007 ticks, 11 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   5071   84.4%          /usr/bin/node
    135    2.2%          /lib/x86_64-linux-gnu/libc-2.31.so
      3    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28
      1    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
     65    1.1%    8.2%  LazyCompile: *parse /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     62    1.0%    7.8%  LazyCompile: *wrap /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     51    0.8%    6.4%  LazyCompile: *SourceNode_walk /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/source-map/lib/source-node.js:221:53
     32    0.5%    4.0%  LazyCompile: *next /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     24    0.4%    3.0%  LazyCompile: *resolve path.js:1067:10
     20    0.3%    2.5%  LazyCompile: *castChunk /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
     17    0.3%    2.1%  LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
     17    0.3%    2.1%  LazyCompile: *<anonymous> /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/source-map/lib/source-node.js:174:29
     13    0.2%    1.6%  RegExp: (?:\r\n?|\n).*
     12    0.2%    1.5%  LazyCompile: *next /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/index.js:176:16
     11    0.2%    1.4%  LazyCompile: *readPackage internal/modules/cjs/loader.js:258:21
     10    0.2%    1.3%  LazyCompile: *SubExpression /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:236:40
      9    0.1%    1.1%  LazyCompile: *setupHelperArgs /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1104:44
      8    0.1%    1.0%  LazyCompile: *generateList /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
      7    0.1%    0.9%  RegExp: \r?\n\s*?$
      7    0.1%    0.9%  LazyCompile: *relative path.js:1166:11
      7    0.1%    0.9%  LazyCompile: *Module._nodeModulePaths internal/modules/cjs/loader.js:597:37
      6    0.1%    0.8%  LazyCompile: *normalizeString path.js:59:25
      6    0.1%    0.8%  LazyCompile: *anonymous /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:12:42
